"Time(input)","Time(AQMS)","Longitude","Latitude","AQHI","AR%","AR%(PM)","AR%(NO2)","AR%(O3)","AR%(SO2)","PM10(ug/m3)","PM2.5(ug/m3)","NO2(ug/m3)","O3(ug/m3)","SO2(ug/m3)"
"2024070112","2024070112",114.17484460,22.24888650,3.000000,4.220643,0.580059,0.428230,3.174044,0.038311,20.202921,7.472346,7.462826,67.822701,2.403063
"2024070112","2024070112",114.17467290,22.24882990,3.000000,4.221217,0.579840,0.430997,3.172330,0.038049,20.193710,7.488016,7.522067,67.787537,2.384245
"2024070112","2024070112",114.17470250,22.24880280,3.000000,4.221291,0.580069,0.429709,3.173269,0.038243,20.199963,7.482780,7.494797,67.804878,2.398094
"2024070112","2024070112",114.17472290,22.24881730,3.000000,4.221291,0.580069,0.429709,3.173269,0.038243,20.199963,7.482780,7.494797,67.804878,2.398094
"2024070112","2024070112",114.17449770,22.24889920,3.000000,4.221217,0.579840,0.430997,3.172330,0.038049,20.193710,7.488016,7.522067,67.787537,2.384245
"2024070112","2024070112",114.17432210,22.24875850,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.17438610,22.24876540,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.17438100,22.24876800,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.17439170,22.24876880,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.17436740,22.24869680,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.17453700,22.24874840,3.000000,4.221291,0.580069,0.429709,3.173269,0.038243,20.199963,7.482780,7.494797,67.804878,2.398094
"2024070112","2024070112",114.17449420,22.24870660,3.000000,4.221291,0.580069,0.429709,3.173269,0.038243,20.199963,7.482780,7.494797,67.804878,2.398094
"2024070112","2024070112",114.17445240,22.24868000,3.000000,4.261126,0.592253,0.476334,3.154739,0.037800,20.616682,7.807569,8.539310,67.427895,2.365735
"2024070112","2024070112",114.16859290,22.24845490,3.000000,4.259714,0.595061,0.505696,3.123630,0.035327,20.732384,7.830082,9.376892,66.623154,2.225046
"2024070112","2024070112",114.16623310,22.27920370,3.000000,4.436199,0.630736,1.158814,2.630484,0.016166,21.884605,10.008818,23.815435,57.001007,0.976208
"2024070112","2024070112",114.16620940,22.27919930,3.000000,4.372163,0.605906,1.013045,2.737041,0.016171,21.049187,9.455001,20.626045,59.042870,0.976570
"2024070112","2024070112",114.16611710,22.27914470,3.000000,4.334184,0.586557,0.845923,2.885513,0.016191,20.352741,8.994547,16.809830,61.949196,0.978123
"2024070112","2024070112",114.16605800,22.27907060,3.000000,4.761314,0.725676,1.312787,2.706617,0.016234,25.469625,12.386425,28.336823,57.660423,0.981283
"2024070112","2024070112",114.16602090,22.27903460,3.000000,4.735578,0.718534,1.309758,2.691049,0.016236,25.117237,12.153743,28.096434,57.392273,0.981596
"2024070112","2024070112",114.16587610,22.27911060,4.000000,5.736952,1.046248,2.487035,2.187440,0.016229,35.228489,18.859341,50.789391,49.003216,0.982013
"2024070112","2024070112",114.16587510,22.27911020,4.000000,5.736952,1.046248,2.487035,2.187440,0.016229,35.228489,18.859341,50.789391,49.003216,0.982013
"2024070112","2024070112",114.16557160,22.27922640,3.000000,4.245649,0.556633,0.756129,2.916694,0.016193,19.430090,8.400503,15.114205,62.398548,0.981643
"2024070112","2024070112",114.16556370,22.27918790,3.000000,4.245649,0.556633,0.756129,2.916694,0.016193,19.430090,8.400503,15.114205,62.398548,0.981643
"2024070112","2024070112",114.17334420,22.27750850,3.000000,4.583905,0.693039,1.261784,2.612722,0.016361,23.925018,11.125120,25.463667,57.442188,0.950628
"2024070112","2024070112",114.17354880,22.27756760,3.000000,4.599744,0.698338,1.275736,2.609285,0.016385,24.103313,11.239026,25.767389,57.371605,0.950656
"2024070112","2024070112",114.17384660,22.27988900,3.000000,4.361474,0.613977,0.887489,2.844579,0.015429,21.241335,9.402312,17.656347,61.450214,0.885836
"2024070112","2024070112",114.18410480,22.28019710,3.000000,5.503527,1.003060,2.440592,2.041561,0.018314,34.045219,17.804554,50.347107,46.286728,0.993334
"2024070112","2024070112",114.18484990,22.28051230,3.000000,4.237185,0.575405,0.720828,2.922600,0.018352,20.089651,8.527804,14.295968,62.696342,0.990265
"2024070112","2024070112",114.18481950,22.28047730,3.000000,4.981808,0.850551,2.237140,1.875766,0.018350,29.253651,14.602699,47.214085,42.575764,0.990393
"2024070112","2024070112",114.18474800,22.28042500,3.000000,4.233171,0.574167,0.716108,2.924549,0.018346,20.044579,8.503879,14.196973,62.727207,0.990758
"2024070112","2024070112",114.18472650,22.28045890,3.000000,4.233171,0.574167,0.716108,2.924549,0.018346,20.044579,8.503879,14.196973,62.727207,0.990758
"2024070112","2024070112",114.18473390,22.28045720,3.000000,4.978755,0.849614,2.233528,1.877267,0.018346,29.219988,14.584246,47.141632,42.597790,0.990703
"2024070112","2024070112",114.18497190,22.28051920,3.000000,4.237185,0.575405,0.720828,2.922600,0.018352,20.089651,8.527804,14.295968,62.696342,0.990265
"2024070112","2024070112",114.18493880,22.28029670,3.000000,4.486453,0.656833,1.007545,2.803729,0.018346,22.768553,10.314924,20.288914,60.548775,0.988552
"2024070112","2024070112",114.18491070,22.28022690,3.000000,4.870669,0.788727,1.561964,2.501636,0.018342,27.078196,13.177245,31.914238,54.977341,0.988181
"2024070112","2024070112",114.18529910,22.28032410,3.000000,4.531531,0.670540,1.048938,2.793695,0.018358,23.242851,10.622623,21.186142,60.359180,0.986256
"2024070112","2024070112",114.18561330,22.28052690,3.000000,4.618135,0.699650,1.161170,2.738950,0.018366,24.190365,11.236542,23.485798,59.395355,0.985184
"2024070112","2024070112",114.18556380,22.28061760,3.000000,4.618135,0.699650,1.161170,2.738950,0.018366,24.190365,11.236542,23.485798,59.395355,0.985184
